train_loss,val_loss,val_nrmse_loss,curr_epoch
0.06374725050961452,0.02172223847384724,0.31631287103415545,0
0.038414079272632656,0.019581431830618563,0.3008603720527279,1
0.03406804882778296,0.021144397487433273,0.321255163095019,2
0.03144344442388761,0.017807847894854664,0.2905749113563806,3
0.02997613664136821,0.019646032364764286,0.30032866937894476,4
0.028979995426532516,0.017336679266956964,0.28500505710050705,5
0.028249503895872236,0.018586055472511496,0.29628720314128737,6
0.02759427343182173,0.020409595630600623,0.300122842048137,7
0.027158305719610754,0.0201676090530536,0.3078132581333421,8
0.026722542607067037,0.017715989165449995,0.2860081287896276,9
0.02644722658966927,0.018938374967902138,0.2908199035727568,10
0.02615233068327377,0.018287328890123595,0.29378958754405765,11
0.025870013364254502,0.017332453944464084,0.28250475165440464,12
0.025594016314016584,0.017815941813323494,0.28360503403616183,13
0.02549547998566969,0.017866511797581513,0.2865838316251569,14
0.02525824134632234,0.01987581321727377,0.297973051994547,15
0.0250906499904963,0.017381976768324803,0.28384827129729584,16
0.02493218222347038,0.018060183504184778,0.28707704549931284,17
0.0248259869300571,0.018175471290289437,0.2892671488682157,18
0.02463824977680917,0.018429160174321002,0.28955392026612814,19
0.02452639244833026,0.018385627575394192,0.2896325805835049,20
0.024405846596111957,0.018342378105470646,0.2871294101499888,21
0.024429140931915075,0.018344181599837975,0.28712337888310674,22
0.024246033761472562,0.017489524117269208,0.2817173820548323,23
0.024180279228704908,0.01883534943178713,0.2943476594928136,24
0.02409742136536112,0.01880586676104653,0.2923329988099351,25
0.024030598235428642,0.017888972430905203,0.2856516647763158,26
0.023855808589885716,0.017895584655652573,0.28813543380488277,27
0.02381279807696235,0.018098270056313457,0.2872611523754078,28
0.023677297490822823,0.017969455471828367,0.28626274483537834,29
0.02365451791887925,0.01868973189642528,0.29307254549492806,30
0.023665572393963816,0.01764369699605756,0.28317011324374114,31
0.02349608619708985,0.019420488201158,0.2951183738455328,32
0.02346579938991714,0.01913971159428388,0.2962943867436167,33
0.02339051092043519,0.018249293000926786,0.2862892713464255,34
0.02329705688190411,0.01857681750603738,0.2910508573019408,35
0.023287157752238122,0.018953124294361495,0.2944676422424307,36
0.023209158097011233,0.018360817875026816,0.2883251129633759,37
0.02313492317525554,0.01809731326427797,0.2857367233303826,38
0.02311323275596398,0.019137919336990307,0.2959799146329209,39
0.02307489820025645,0.017770346074702497,0.2844804630753258,40
0.023011220487344747,0.018119796560816154,0.2884899992766545,41
0.023005697633143654,0.018505050301632273,0.2893269521210604,42
0.02293802112209537,0.01752093070217726,0.28250777060968807,43
0.041781095003523706,0.02412365997477856,0.3298511962257854,44
0.03582390363231549,0.022241937765594317,0.307902703514851,45
0.03326601429343904,0.020349565267392348,0.30070894916517615,46
0.032571321242948786,0.021619132570454374,0.31418487931490735,47
0.031191795962395078,0.019873562836725013,0.3001354720761212,48
0.028898104039519344,0.017122453631541613,0.2802745438374715,49
0.027532289384466238,0.01934237077169333,0.3018242754351775,50
0.026621718617944486,0.01823116627076897,0.2916489113772316,51
