train_loss,val_loss,val_nrmse_loss,curr_epoch
0.17013812349032667,0.06847945020514774,0.5466837650968653,0
0.0957704873254378,0.034867202810822576,0.39783226666477706,1
0.07521453238566367,0.03547163799513601,0.4008251988466484,2
0.06517063626315316,0.0292521053690334,0.3748468253122913,3
0.0601462291023838,0.034174353055357855,0.3903224105428913,4
0.05581499266680132,0.040617461217412824,0.42726797204973377,5
0.05265763045948953,0.05397660494019025,0.5228748234834388,6
0.04971327205358831,0.030070548590855672,0.371641203739288,7
0.04783784548201065,0.028441440060008073,0.3634047060390192,8
0.04616614979275891,0.03029667282754298,0.3836155369312293,9
0.04492659890942656,0.024389265508885035,0.33996533681109364,10
0.043660523317378526,0.029202591273411724,0.36761244300736445,11
0.04276973237745481,0.025171542225974793,0.34893374455372056,12
0.042019042252642046,0.024683148955793675,0.3471083544850334,13
0.04084878676606796,0.024348457555802297,0.3360258695305128,14
0.0416575583533366,0.025088716647020705,0.33860925645601847,15
0.04166372545748237,0.026222473265738563,0.34562522575712973,15
0.04069354423522942,0.022333574028412448,0.321363254221041,16
0.0407652735036372,0.02295990261043098,0.32513113157272816,16
0.03906942669805275,0.0231432348126855,0.3286772791138516,17
0.03889395378272938,0.02434218883763439,0.3352779878505853,17
0.03984546549125391,0.02432365108518097,0.3476849147813405,18
0.039866736841307086,0.02330235068627435,0.34251372093156823,18
0.03863045730646304,0.024061309359753258,0.3343444690926203,19
0.037929430970839915,0.02317502521575887,0.3257647798978816,20
0.03760591382330732,0.040389541933128964,0.4501329887816812,21
0.036808643819314354,0.023757973204130606,0.3301582588918563,22
0.036734436129963896,0.027244049413782216,0.3484982565770672,23
0.03600263237165548,0.022590473747755545,0.3230278538157453,24
0.035645074557525976,0.025723314869981903,0.34146674845532526,25
0.03485902272799505,0.024905571475672163,0.33547033590224096,26
0.034885193463062646,0.022983153185824366,0.33418328282762394,27
0.03437704028618567,0.022635719750530206,0.3303207060890809,28
0.033909187807365335,0.02244397344543597,0.32205750857106313,29
