train_loss,val_loss,val_nrmse_loss,curr_epoch
0.1722366400970421,0.0563091019559647,0.5171559267242981,0
0.09806342584225403,0.05007382090116108,0.4940983094691329,1
0.08350421331964192,0.03964001546093536,0.42874095038516,2
0.07096438649111268,0.08624732018615892,0.612052003105515,3
0.06903162612375119,0.03834639371486469,0.43008130520703336,4
0.060780881111939467,0.030886424269523975,0.3754170228496053,5
0.0571627274601972,0.02895718144319156,0.37452268981793196,6
0.054055128654289006,0.030080946102512544,0.3704102846026252,7
0.051330403073622875,0.02544894222372941,0.3526783430369087,8
0.048032893912957834,0.027123291308723492,0.3596300516632316,9
0.04698720628783341,0.02607860337010594,0.3497847378324213,10
0.045886471624305446,0.028520837921677294,0.3783292457454124,11
0.044104291534068286,0.025580229114498625,0.35200940634178385,12
0.043231263643811774,0.023078210208597898,0.334734488985156,13
0.043018956937414796,0.02183578885926456,0.32896638027654806,14
0.04268512875536707,0.02559645961705463,0.3527553060521451,15
0.04081818230151296,0.02215080471445861,0.32065725315642524,16
0.040292832887481284,0.02421790301852488,0.3460156004979099,17
0.03897801812231976,0.021268919545749384,0.32358160278506093,18
0.03902961563679604,0.021305747918341146,0.3163877148429938,19
0.03893366361374366,0.022749878600652026,0.32441502013419304,20
0.037782086161773025,0.028253785674555647,0.38183422890748786,21
0.03731819146616264,0.023014719801857604,0.33369246562966254,22
0.036651842013869444,0.02369027352659491,0.34528317871556646,23
0.03674845155567907,0.022265505722816516,0.337878082170257,24
0.035450727615125514,0.02161296859067855,0.3190582228723314,25
0.036543913330970824,0.02263787853921575,0.32839081188150404,26
0.03524766849061616,0.023423444987725563,0.3360363323216653,27
0.035540495095828586,0.022249487569900656,0.3242971993111518,28
0.034596595352428317,0.021989525478568115,0.3219853076425946,29
0.034582583400132025,0.01999321598240089,0.3111350758270989,30
0.034318584252602945,0.02015051171109673,0.30918087473685985,31
0.03457008830501789,0.023024734050698336,0.33885402993442526,32
0.03415067284647916,0.01999087185096899,0.3101976750671048,33
0.033954636259162785,0.023858291421990394,0.3322872589181931,34
0.03389017069339675,0.02031980092528502,0.3116136245701299,35
0.034067726958153854,0.02266859419238468,0.3294672988229713,36
0.03418781510886318,0.021892646497895456,0.31926690534728214,37
0.032937894918945054,0.021351029044433624,0.31649953486867843,38
0.032719322853543294,0.025368485390906158,0.3426565518523577,39
0.032964331754788315,0.02438974956690873,0.3422537700602803,40
0.032722392090218634,0.020485833414303656,0.31226262809059047,41
0.03252012818796131,0.021119102411229825,0.3166576022729018,42
0.032810776609217725,0.020838652122267588,0.3196558536604126,43
0.03247090131687278,0.01969832729375431,0.30472311720161066,44
0.032188992983731866,0.02151498502566988,0.32114643997298725,45
0.03255005813532727,0.021618496723535,0.32102984169863735,46
